time;send_diff;receive_diff;;;
168139,1722;10,822135;10,194253;;;
168149,3659;9,568458;10,193715;;;
168159,5611;10,194215;10,195154;;;
168169,7558;10,194216;10,194674;;;
168179,9493;10,19461;10,193537;;;
168190,1438;10,570791;10,194491;;;
168200,3407;9,820377;10,196863;;;
168210,536;10,194311;10,195368;;;
168220,7343;10,196342;10,198266;;;
168230,9297;10,197292;10,19541;;;
168241,1248;10,384178;10,19507;;;
168251,3178;10,004664;10,19301;;;
168261,5134;10,194296;10,19559;;;
168271,7083;10,194675;10,19492;;;
168281,902;10,194584;10,193709;;;
168292,099;10,194255;10,196961;;;
168302,2907;10,194568;10,191713;;;
168312,4861;10,194404;10,195475;;;
168322,6793;10,195264;10,193158;;;
168332,8758;10,194287;10,196494;;;
168343,0705;10,194509;10,194672;;;
168353,2641;10,194378;10,193622;;;
168363,4585;10,194379;10,194383;;;
168373,6532;10,194237;10,194759;;;
168383,85;10,194239;10,196768;;;
168394,0421;10,195043;10,192081;;;
168404,2376;10,194271;10,195491;;;
168414,4325;10,195225;10,19497;;;
168424,6268;10,194062;10,194253;;;
168434,8202;10,194364;10,19341;;;
168445,0165;10,194108;10,19631;;;
168455,209;10,194336;10,192499;;;
168465,4034;10,194323;10,194363;;;
168475,6013;10,194269;10,197946;;;
168485,7957;10,1949;10,1944;;;
168495,9878;10,194116;10,192056;;;
168506,1818;10,894694;10,193996;;;
168516,3771;9,494582;10,19536;;;
168526,5708;10,194404;10,193619;;;
168536,7651;10,194084;10,194382;;;
168546,9593;10,194293;10,19412;;;
168557,1543;10,633687;10,195043;;;
168567,3552;9,75462;10,20086;;;
168577,5423;10,194489;10,187155;;;
168587,7383;10,194098;10,196032;;;
168597,9332;10,195371;10,194878;;;
168608,1274;10,384742;10,194182;;;
168618,3208;10,003913;10,19341;;;
168628,5151;10,194322;10,194269;;;
168638,7096;10,194543;10,194536;;;
168648,9067;10,194277;10,197047;;;
168659,1009;10,194116;10,194276;;;
168669,2934;10,194204;10,192452;;;
168679,4893;10,194045;10,195898;;;
168689,6835;10,196045;10,194183;;;
168699,8784;10,194157;10,194888;;;
168710,0713;10,194353;10,192926;;;
168720,2658;10,19405;10,194508;;;
168730,4613;10,194891;10,195538;;;
168740,6561;10,194355;10,194726;;;
168750,8515;10,194081;10,195469;;;
168761,0434;10,19415;10,191858;;;
168771,2408;10,194182;10,197369;;;
168781,4394;10,195996;10,198675;;;
168791,6281;10,194184;10,188669;;;
168801,8223;10,194232;10,194168;;;
168812,0174;10,194143;10,195112;;;
168822,2156;10,194917;10,198236;;;
168832,4057;10,194146;10,190096;;;
168842,5999;10,194034;10,194143;;;
168852,7974;10,194198;10,197501;;;
168862,9913;10,194291;10,193912;;;
168873,1848;10,894265;10,193482;;;
168883,3792;9,496041;10,194454;;;
168893,5749;10,194514;10,195718;;;
168903,7689;10,194222;10,19399;;;
168913,9629;10,194977;10,194034;;;
168924,1583;10,640286;10,195354;;;
168934,3512;9,747898;10,192884;;;
168944,5456;10,194111;10,194411;;;
168954,7415;10,194107;10,195947;;;
168964,9358;10,195962;10,194273;;;
168975,1315;10,393562;10,195664;;;
168985,326;9,995256;10,194531;;;
168995,519;10,194179;10,192997;;;
169005,7151;10,194967;10,196084;;;
169015,9092;10,19432;10,194105;;;
169026,1068;10,194125;10,197588;;;
169036,2969;10,19413;10,190079;;;
169046,494;10,194085;10,197093;;;
169056,6882;10,19591;10,194245;;;
169066,8815;10,194107;10,193335;;;
169077,0757;10,194331;10,194199;;;
169087,27;10,1941;10,194255;;;
169097,4655;10,194657;10,195469;;;
169107,6686;10,194202;10,203093;;;
169117,8584;10,194319;10,189821;;;
169128,0473;10,194094;10,188886;;;
169138,2433;10,194048;10,196071;;;
169148,4374;10,195836;10,194108;;;
169158,6347;10,194128;10,19728;;;
169168,8263;10,194284;10,191554;;;
